Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Nikola Jojic,Serbia,,checked,Stoke City,England,Championship,WM,Left,Attacking,Creator,Dribbler,Magician,82,,
D'Margio Wright-Phillips,England,,checked,Stoke City,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,80,,
Wesley,Brazil,,checked,Stoke City,England,Championship,CF,Right,Balanced,Aerial,Powerhouse,Bulldozer,83,,
Michael Rose,Scotland,,checked,Stoke City,England,Championship,CD,Right,Balanced,Stopper,Aerial,Centre Back,82,,
Ben Pearson,England,,checked,Stoke City,England,Championship,CM,Right,Balanced,Engine,Passer,Orchestrator,83,,
Mehdi Leris,Ireland,,checked,Stoke City,England,Championship,WM,Right,Attacking,Creator,Sprinter,Hurricane,82,,
Million Manhoef,Netherlands,,checked,Stoke City,England,Championship,WM,Left,Balanced,Sprinter,Engine,Raider,83,,
Ciaran Clark,Ireland,,checked,Stoke City,England,Championship,CD,Left,Cautious,Stopper,Aerial,Centre Back,84,,
Enda Stevens,Ireland,,checked,Stoke City,England,Championship,WD ,Left,Balanced,Engine,Cover,Dynamo,84,,
Luke McNally,Ireland,,checked,Stoke City,England,Championship,CD,Right,Cautious,Aerial,Stopper,Colossus,82,,
Jack Bonham,Ireland,,checked,Stoke City,England,Championship,GK,Right,Cautious,Acrobat,Aerial,Guardian,80,,
Liam McCarron,Scotland,,checked,Stoke City,England,Championship,WF,Left,Attacking,Sprinter,Dribbler,Spark,80,,
Tom Sparrow,Wales,,checked,Stoke City,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,78,,
Ryan Mmaee,Morocco,,checked,Stoke City,England,Championship,CF,Right,Attacking,Striker,Sprinter,Rocket,84,,
Wouter Burger,Netherlands,,checked,Stoke City,England,Championship,CM,Left,Balanced,Engine,Controller,Box-To-Box,85,,
Ben Wilmot,England,,checked,Stoke City,England,Championship,CD,Right,Cautious,Stopper,Engine,Disruptor,84,,
Daniel Johnson,Jamaica,,checked,Stoke City,England,Championship,CM,Left,Balanced,Engine,Controller,Box-To-Box,84,,
Ki-Jana Hoever,Netherlands,,checked,Stoke City,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,82,,
Frank Fielding,England,,checked,Stoke City,England,Championship,GK,Right,Cautious,Commander,Orthodox,Protector,81,,
Emre Tezgel,England,,checked,Stoke City,England,League One,CF,Right,Attacking,Striker,Engine,Poacher,81,,
Junior Tchamadeu,Cameroon,,checked,Stoke City,England,Championship,WD ,Right,Balanced,Cover,Engine,Workhorse,83,,
Lynden Gooch,,,checked,Stoke City,England,Championship,WM,Right,Balanced,Engine,Sprinter,Shuttler,83,,
Tommy Simkin,England,,checked,Stoke City,England,Championship,GK,Right,Cautious,Acrobat,Sweeper,Hawk,82,,
Sol Sidibe,England,,checked,Stoke City,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,79,,
Jordan Thompson,,,checked,Stoke City,England,Championship,CM,Left,Balanced,Engine,Cover,Dynamo,84,,
Andre Vidigal,Portugal,,checked,Stoke City,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,82,,
Jobe Bellingham,England,,checked,Sunderland,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Callum Styles,Hungary,,checked,Sunderland,England,Championship,CM,Left,Balanced,Engine,Controller,Box-To-Box,85,,
Jenson Seelt,Netherlands,,checked,Sunderland,England,Championship,CD,Right,Balanced,Aerial,Stopper,Colossus,82,,
Luke O'Nien,England,,checked,Sunderland,England,Championship,CM,Right,Balanced,Commander,Engine,General,83,,
Timothee Pembele,France,,checked,Sunderland,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,83,Wonderkid,
Elliot Embleton,England,,checked,Sunderland,England,Championship,CM,Either,Balanced,Passer,Creator,Playmaker,81,,
Adil Aouchiche,France,,checked,Sunderland,England,Championship,CM,Right,Attacking,Creator,Dribbler,Magician,83,,
Bradley Dack,England,,checked,Sunderland,England,Championship,CM,Right,Attacking,Creator,Engine,Catalyst,83,,
Anthony Patterson,England,,checked,Sunderland,England,Championship,GK,Right,Balanced,Acrobat,Orthodox,Shotstopper,82,,
Chris Rigg,England,,checked,Sunderland,England,Championship,CM,Left,Balanced,Engine,Creator,Raumdeuter,80,,
Mason Burstow,England,,checked,Sunderland,England,Championship,CF,Right,Attacking,Aerial,Striker,Target,81,,
Ellis Taylor,England,,checked,Sunderland,England,Championship,WM,Left,Attacking,Engine,Creator,Raumdeuter,81,,
Romaine Mundle,England,,checked,Sunderland,England,Championship,WM,Right,Balanced,Dribbler,Engine,Outlet,82,,
Trai Hume,,,checked,Sunderland,England,Championship,WD ,Right,Cautious,Stopper,Cover,Shield,83,,
Patrick Roberts,England,,checked,Sunderland,England,Championship,WF,Left,Attacking,Dribbler,Creator,Wizard,83,,
Nazarly Rusyn,Ukraine,,checked,Sunderland,England,Championship,CF,Right,Attacking,Sprinter,Striker,Assassin,82,,
Leo Hjelde,Norway,,checked,Sunderland,England,Championship,CD,Left,Balanced,Aerial,Stopper,Colossus,83,,
Abdoullah Ba,Mauritania,,checked,Sunderland,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,83,,
Corry Evans,,,checked,Sunderland,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,83,,
Nathan Bishop,England,,checked,Sunderland,England,Championship,GK,Right,Cautious,Acrobat,Sweeper,Hawk,80,,
Aji Alese,England,,checked,Sunderland,England,Championship,WD ,Left,Balanced,Sprinter,Cover,Flanker,82,,
Pierre Ekwah,France,,checked,Sunderland,England,Championship,CM,Left,Balanced,Controller,Passer,Regista,83,,
Niall Huggins,Wales,,checked,Sunderland,England,Championship,WD ,Right,Balanced,Sprinter,Cover,Flanker,82,,
Dennis Cirkin,Ireland,,checked,Sunderland,England,Championship,WD ,Left,Balanced,Engine,Cover,Dynamo,83,,
Nectarios Triantis,Australia,,checked,Sunderland,England,Championship,CD,Right,Balanced,Stopper,Aerial,Centre Back,82,,
Jack Clarke,England,,checked,Sunderland,England,Championship,WM,Right,Attacking,Dribbler,Sprinter,Winger,84,,
Daniel Ballard,,,checked,Sunderland,England,Championship,CD,Right,Balanced,Stopper,Engine,Disruptor,83,,
Dan Neil,England,,checked,Sunderland,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Luis Semedo,Portugal,,checked,Sunderland,England,Championship,CF,Right,Attacking,Aerial,Striker,Target,82,,
Aimar Govea,Ecuador,,checked,Swansea City,England,Championship,WM,Left,Balanced,Dribbler,Creator,Wizard,78,,
Cameron Congreve,Wales,,checked,Swansea City,England,Championship,WF,Left,Attacking,Creator,Dribbler,Magician,79,,
Jamie Paterson,England,,checked,Swansea City,England,Championship,WM,Right,Attacking,Creator,Passer,Maestro,82,,
Mykola Kukharevych,Ukraine,,checked,Swansea City,England,Championship,CF,Right,Attacking,Striker,Aerial,Finisher,83,,
Charles Sagoe Jr.,England,,checked,Swansea City,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,80,,
Harry Darling,England,,checked,Swansea City,England,Championship,CD,Right,Balanced,Stopper,Aerial,Centre Back,83,,
Liam Cullen,Wales,,checked,Swansea City,England,Championship,CF,Left,Attacking,Striker,Engine,Poacher,84,,
Przemyslaw Placheta,Poland,,checked,Swansea City,England,Championship,WM,Left,Attacking,Sprinter,Creator,Livewire,82,,
Azeem Abdulai,Scotland,,checked,Swansea City,England,Championship,CM,Right,Balanced,Controller,Creator,Metronome,81,,
Ben Cabango,Wales,,checked,Swansea City,England,Championship,CD,Right,Cautious,Stopper,Aerial,Centre Back,83,,
Joshua Key,England,,checked,Swansea City,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,82,,
Charlie Patino,England,,checked,Swansea City,England,Championship,CM,Right,Balanced,Controller,Creator,Metronome,84,,
Harrison Ashby,Scotland,,checked,Swansea City,England,Championship,WD ,Right,Balanced,Engine,Cover,Dynamo,83,,
Kyle Naughton,England,,checked,Swansea City,England,Championship,WD ,Right,Balanced,Engine,Cover,Dynamo,84,,
Liam Walsh,England,,checked,Swansea City,England,Championship,CM,Right,Balanced,Creator,Engine,Catalyst,82,,
Carl Rushworth,England,,checked,Swansea City,England,Championship,GK,Left,Cautious,Acrobat,Sweeper,Hawk,83,,
Andy Fisher,England,,checked,Swansea City,England,Championship,GK,Right,Balanced,Distributor,Sweeper,Libero GK,81,,
Joe Allen,Wales,,checked,Swansea City,England,Championship,CM,Right,Balanced,Controller,Passer,Regista,84,,
Ronald,Brazil,,checked,Swansea City,England,Championship,WF,Right,Balanced,Sprinter,Dribbler,Spark,83,,
Josh Ginnelly,England,,checked,Swansea City,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,82,,
Bashir Humphreys,England,,checked,Swansea City,England,Championship,CD,Right,Cautious,Stopper,Aerial,Centre Back,82,,
Josh Tymon,England,,checked,Swansea City,England,Championship,WD ,Left,Balanced,Engine,Sprinter,Shuttler,83,,
Jay Fulton,Scotland,,checked,Swansea City,England,Championship,CM,Right,Balanced,Powerhouse,Controller,Anchor,83,,
Jerry Yates,England,,checked,Swansea City,England,Championship,CF,Right,Attacking,Engine,Striker,Menace,83,,
Matt Grimes,England,,checked,Swansea City,England,Championship,CM,Left,Balanced,Controller,Passer,Regista,84,,
Oli Cooper,Wales,,checked,Swansea City,England,Championship,CM,Right,Balanced,Engine,Sprinter,Shuttler,82,,
Jamal Lowe,Jamaica,,checked,Swansea City,England,Championship,WF,Right,Attacking,Dribbler,Sprinter,Winger,83,,
Nathan Wood,England,,checked,Swansea City,England,Championship,CD,Right,Cautious,Stopper,Powerhouse,Gladiator,83,,
Nathan Broome,England,,checked,Swansea City,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,79,,
Jack Bycroft,England,,checked,Swindon Town,England,League Two,GK,,,,,,,,
Sean McGurk,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Udoka Godwin-Malife,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Williams Kokolo,France,,checked,Swindon Town,England,League Two,,,,,,,,,
Paul Glatzel,Germany,,checked,Swindon Town,England,League Two,,,,,,,,,
Tariq Uwakwe,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Nnamdi Ofoborh,Nigeria,,checked,Swindon Town,England,League Two,,,,,,,,,
Pharrell Johnson,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Aaron Drinan,Ireland,,checked,Swindon Town,England,League Two,,,,,,,,,
Jake Cain,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Harrison Minturn,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Ricky Aguiar,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Anton Dworzak,England,,checked,Swindon Town,England,League Two,,,,,,,,,
Saidou Khan,Gambia,,checked,Swindon Town,England,League Two,,,,,,,,,
Yves Bissouma,Mali,,checked,Tottenham Hotspur,England,Premier League,CM,Right,Balanced,Controller,Dribbler,Carrier,88,,
James Maddison,England,,checked,Tottenham Hotspur,England,Premier League,CM,Right,Attacking,Creator,Striker,Fantasista,88,,
Son Heung-min,South Korea,Key,checked,Tottenham Hotspur,England,Premier League,WF,Right,Balanced,Sprinter,Striker,Assassin,90,Starter,
Pierre-Emile Højbjerg,Denmark,Key,checked,Tottenham Hotspur,England,Premier League,CM,Right,Balanced,Commander,Controller,Director,87,Rotation,
Guglielmo Vicario,Italy,Squad,checked,Tottenham Hotspur,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,89,Key,
Cristian Romero,Argentina,Starter,checked,Tottenham Hotspur,England,Premier League,CD,Right,Cautious,Stopper,Powerhouse,Gladiator,90,Key,
Micky van de Ven ,Netherlands,Rotation,checked,Tottenham Hotspur,England,Premier League,CD,Left,Balanced,Stopper,Sprinter,Shadow,90,Key,
Dejan Kulusevski,Sweden,,checked,Tottenham Hotspur,England,Premier League,WF,Left,Balanced,Creator,Passer,Maestro,87,,
Rodrigo Bentancur,Uruguay,,checked,Tottenham Hotspur,England,Premier League,CM,Right,Balanced,Engine,Commander,Driver,88,,
Pape Sarr,Senegal,,checked,Tottenham Hotspur,England,Premier League,CM,Right,Balanced,Engine,Powerhouse,Bison,87,,
Richarlison,Brazil,,checked,Tottenham Hotspur,England,Premier League,CF,Right,Balanced,Striker,Engine,Poacher,87,,
Timo Werner,Germany,,checked,Tottenham Hotspur,England,Premier League,WF,Right,Balanced,Sprinter,Striker,Assassin,88,,
Oliver Skipp,England,,checked,Tottenham Hotspur,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,85,,
Giovani Lo Celso,Argentina,,checked,Tottenham Hotspur,England,Premier League,CM,Left,Attacking,Controller,Creator,Metronome,86,,
Radu Dragusin,Romania,,checked,Tottenham Hotspur,England,Premier League,CD,Right,Cautious,Powerhouse,Stopper,Enforcer,87,,
Ryan Sessegnon,England,,checked,Tottenham Hotspur,England,Premier League,WM,Left,Balanced,Sprinter,Creator,Livewire,85,,Contract Expiring
Will Lankshear,England,,checked,Tottenham Hotspur,England,Premier League,CF,Right,Attacking,Striker,Engine,Poacher,83,,
Manor Solomon,Israel,,checked,Tottenham Hotspur,England,Premier League,WF,Right,Attacking,Sprinter,Creator,Livewire,86,,
Brandon Austin,England,,checked,Tottenham Hotspur,England,Premier League,GK,Right,Cautious,Acrobat,Commander,Spider,82,,
Ben Davies,Wales,,checked,Tottenham Hotspur,England,Premier League,WD ,Left,Cautious,Stopper,Engine,Disruptor,86,,
Brennan Johnson,Wales,,checked,Tottenham Hotspur,England,Premier League,WF,Right,Balanced,Sprinter,Creator,Livewire,87,,
Bryan Gil,Spain,,checked,Tottenham Hotspur,England,Premier League,WM,Left,Attacking,Creator,Dribbler,Magician,85,,
Emerson Royal,Brazil,,checked,Tottenham Hotspur,England,Premier League,WD ,Right,Attacking,Sprinter,Engine,Raider,87,,
Destiny Udogie,Italy,,checked,Tottenham Hotspur,England,Premier League,WD ,Left,Attacking,Sprinter,Cover,Flanker,88,,
Pedro Porro,Spain,,checked,Tottenham Hotspur,England,Premier League,WD ,Right,Attacking,Sprinter,Creator,Livewire,87,,
Mikey Moore,England,,checked,Tottenham Hotspur,England,Premier League,WF,Right,Attacking,Dribbler,Creator,Wizard,84,Wonderkid,
Lucas Bergvall,Sweden,,checked,Tottenham Hotspur,England,Premier League,CM,Right,Attacking,Controller,Dribbler,Carrier,87,Wonderkid,
Jamie Donley,,,checked,Tottenham Hotspur,England,Premier League,WF,Left,Attacking,Striker,Creator,Talisman,84,,
Radu Drăgușin,Romania,,checked,Tottenham Hotspur,England,Premier League,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,87,,
Rebecca Spencer,Jamaica,,checked,Tottenham Hotspur WFC,England,WSL,GK,,Cautious,,,,,,
Amy Turner,England,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Molly Bartrip,England,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Martha Thomas,Scotland,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Grace Clinton,England,,checked,Tottenham Hotspur WFC,England,WSL,CM,Right,Balanced,Creator,Engine,Catalyst,81,,
Wang Shuang,China,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Barbora Votíková,,,checked,Tottenham Hotspur WFC,England,WSL,GK,,Cautious,,,,,,
Ashleigh Neville,England,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,79,,
Ramona Petzelberger,Germany,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Eleanor Heeps,England,,checked,Tottenham Hotspur WFC,England,WSL,GK,,Cautious,,,,,,
Luana Bühler,Switzerland,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Amanda Nildén,Sweden,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Olga Ahtinen,Finland,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Matilda Vinberg,Sweden,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Kit Graham,England,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Ellie Brazil,England,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Jessica Naz,England,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Eveliina Summanen,Finland,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Charlotte Grant,Australia,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Rosella Ayane,Morocco,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Bethany England,England,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Celin Bizet Ildhusøy,Norway,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Drew Spence,Jamaica,,checked,Tottenham Hotspur WFC,England,WSL,,,,,,,,,
Kristian Dennis,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Lee O'Connor,Ireland,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Brad Walker,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Harvey Saunders,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Luke Norris,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Jordan Turnbull,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Josh Hawkes,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Regan Hendry,Scotland,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Connor Wood,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Kieron Morris,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Joe Murphy,Ireland,,checked,Tranmere Rovers,England,League Two,GK,Left,,,,,,,
Luke McGee,England,,checked,Tranmere Rovers,England,League Two,GK,,,,,,,,
Samuel Taylor,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Tom Davies,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Connor Jennings,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Chris Merrie,England,,checked,Tranmere Rovers,England,League Two,,,,,,,,,
Harvey Griffiths,England,,checked,Walsall,England,League Two,CM,Right,Balanced,Controller,Commander,Mastermind,73,,
Priestley Farquharson,England,,checked,Walsall,England,,,,,,,,,,
Harry Williams,England,,checked,Walsall,England,,,,,,,,,,
Evan Weir,Ireland,,checked,Walsall,England,,,,,,,,,,
Ronan Maher,Ireland,,checked,Walsall,England,,,,,,,,,,
Brandon Comley,,,checked,Walsall,England,,,,,,,,,,
Isaac Hutchinson,England,,checked,Walsall,England,,,,,,,,,,
Oisin McEntee,Ireland,,checked,Walsall,England,,,,,,,,,,
Tom Knowles,England,,checked,Walsall,England,,,,,,,,,,
Danny Johnson,England,,checked,Walsall,England,,,,,,,,,,
Donervon Daniels,,,checked,Walsall,England,,,,,,,,,,
Jackson Smith,England,,checked,Walsall,England,,GK,,,,,,,,
Joe Foulkes,England,,checked,Walsall,England,,,,,,,,,,
Douglas James-Taylor,England,,checked,Walsall,England,,,,,,,,,,
Jack Earing,England,,checked,Walsall,England,,,,,,,,,,
Jamie Jellis,England,,checked,Walsall,England,,,,,,,,,,
Ryan Stirk,Wales,,checked,Walsall,England,,,,,,,,,,
Jamille Matt,Jamaica,,checked,Walsall,England,,,,,,,,,,
Taylor Allen,England,,checked,Walsall,England,,,,,,,,,,
Liam Gordon,Guyana,,checked,Walsall,England,,,,,,,,,,
Emmanuel Dennis,Nigeria,,checked,Watford,England,Championship,WF,Right,Attacking,Sprinter,Creator,Livewire,85,,
